File,Decks,Gen Time,Write Time,Read Time,Size (MB)
decks_0081.txt,"10,000",521.3 ms,20.4 ms,8.7 ms,0.51
decks_0082.txt,"10,000",511.4 ms,11.9 ms,10.3 ms,0.51
decks_0083.txt,"10,000",518.9 ms,11.1 ms,9.4 ms,0.51
decks_0084.txt,"10,000",514.1 ms,18.2 ms,8.9 ms,0.51
decks_0085.txt,"10,000",521.7 ms,11.0 ms,9.3 ms,0.51
decks_0086.txt,"10,000",521.1 ms,21.2 ms,8.9 ms,0.51
decks_0087.txt,"10,000",529.3 ms,14.4 ms,14.8 ms,0.51
decks_0088.txt,"10,000",526.8 ms,18.4 ms,8.5 ms,0.51
decks_0089.txt,"10,000",512.6 ms,11.9 ms,10.6 ms,0.51
decks_0090.txt,"10,000",519.4 ms,20.6 ms,5.8 ms,0.51
decks_0091.txt,"10,000",382.8 ms,9.6 ms,11.0 ms,0.51
decks_0092.txt,"10,000",508.1 ms,19.0 ms,9.5 ms,0.51
decks_0093.txt,"10,000",526.9 ms,12.0 ms,8.7 ms,0.51
decks_0094.txt,"10,000",519.6 ms,18.6 ms,10.8 ms,0.51
decks_0095.txt,"10,000",509.4 ms,17.9 ms,8.6 ms,0.51
decks_0096.txt,"10,000",520.4 ms,20.5 ms,8.4 ms,0.51
decks_0097.txt,"10,000",512.2 ms,10.8 ms,9.8 ms,0.51
decks_0098.txt,"10,000",519.1 ms,9.9 ms,5.4 ms,0.51
decks_0099.txt,"10,000",466.0 ms,20.4 ms,10.7 ms,0.51
decks_0100.txt,"10,000",515.4 ms,13.3 ms,9.9 ms,0.51
decks_0101.txt,"10,000",514.9 ms,21.0 ms,8.7 ms,0.51
decks_0102.txt,"10,000",523.6 ms,20.5 ms,11.0 ms,0.51
decks_0103.txt,"10,000",518.3 ms,26.1 ms,8.3 ms,0.51
decks_0104.txt,"10,000",527.1 ms,21.1 ms,9.1 ms,0.51
decks_0105.txt,"10,000",531.9 ms,11.2 ms,9.3 ms,0.51
decks_0106.txt,"10,000",512.1 ms,9.7 ms,9.7 ms,0.51
decks_0107.txt,"10,000",521.4 ms,11.3 ms,5.3 ms,0.51
decks_0108.txt,"10,000",479.0 ms,14.2 ms,5.5 ms,0.51
decks_0109.txt,"10,000",437.1 ms,20.6 ms,10.5 ms,0.51
decks_0110.txt,"10,000",515.3 ms,10.7 ms,11.1 ms,0.51
decks_0111.txt,"10,000",518.4 ms,20.3 ms,8.9 ms,0.51
decks_0112.txt,"10,000",512.2 ms,15.9 ms,9.3 ms,0.51
decks_0113.txt,"10,000",515.5 ms,20.2 ms,10.5 ms,0.51
decks_0114.txt,"10,000",512.0 ms,9.8 ms,8.6 ms,0.51
decks_0115.txt,"10,000",518.7 ms,18.3 ms,9.3 ms,0.51
decks_0116.txt,"10,000",515.8 ms,12.4 ms,8.6 ms,0.51
decks_0117.txt,"10,000",512.8 ms,20.2 ms,8.5 ms,0.51
decks_0118.txt,"10,000",509.6 ms,16.0 ms,10.5 ms,0.51
decks_0119.txt,"10,000",519.9 ms,19.0 ms,9.9 ms,0.51
decks_0120.txt,"10,000",513.4 ms,11.0 ms,11.3 ms,0.51
decks_0121.txt,"10,000",509.8 ms,17.7 ms,10.1 ms,0.51
decks_0122.txt,"10,000",516.6 ms,21.1 ms,8.4 ms,0.51
decks_0123.txt,"10,000",508.8 ms,18.8 ms,8.4 ms,0.51
decks_0124.txt,"10,000",519.3 ms,11.4 ms,8.9 ms,0.51
decks_0125.txt,"10,000",518.7 ms,11.6 ms,8.3 ms,0.51
decks_0126.txt,"10,000",521.6 ms,22.9 ms,9.1 ms,0.51
decks_0127.txt,"10,000",506.0 ms,13.7 ms,8.6 ms,0.51
decks_0128.txt,"10,000",514.9 ms,25.4 ms,6.1 ms,0.51
decks_0129.txt,"10,000",502.9 ms,20.4 ms,10.9 ms,0.51
decks_0130.txt,"10,000",516.8 ms,25.7 ms,11.3 ms,0.51
decks_0131.txt,"10,000",516.0 ms,20.2 ms,10.4 ms,0.51
